time,flare_class,xrsb_irrad,active_region
2014-06-12 09:37:00,M2.5,2.597e-05,2085.0
2014-06-12 10:21:00,M3.9,3.928e-05,2087.0
2014-06-12 16:03:00,M1.1,1.126e-05,2085.0
2014-06-12 18:13:00,M1.9,1.915e-05,2087.0
2014-06-12 21:13:00,M1.4,1.493e-05,2087.0
2014-06-12 22:16:00,M4.5,4.52e-05,2085.0
2014-06-13 00:34:00,M1.2,1.227e-05,2087.0
2014-06-13 03:39:00,M1.4,1.422e-05,
2014-06-13 07:56:00,M3.7,3.773e-05,2087.0
2014-06-13 20:17:00,M1.2,1.298e-05,2087.0
2014-06-14 19:29:00,M2.0,2.072e-05,
2014-06-15 06:05:00,M1.0,1.084e-05,
2014-06-15 08:09:00,M1.0,1e-05,2085.0
2014-06-15 11:39:00,M1.5,1.573e-05,
2014-06-16 00:01:00,M1.4,1.454e-05,
2014-06-16 02:15:00,M1.1,1.198e-05,
2014-07-01 11:23:00,M2.0,2.004e-05,
2014-07-08 16:20:00,M9.3,9.36e-05,2113.0
2014-07-09 00:26:00,M1.7,1.798e-05,
2014-07-10 21:13:00,M1.0,1.066e-05,
2014-07-10 22:34:00,M2.2,2.21e-05,
2014-07-30 16:17:00,M1.2,1.293e-05,
2014-08-01 00:18:00,M1.2,1.239e-05,2132.0
2014-08-01 14:48:00,M2.9,2.936e-05,
2014-08-01 18:13:00,M2.1,2.194e-05,
2014-08-21 13:31:00,M4.9,4.926e-05,2149.0
2014-08-21 19:04:00,M1.0,1.055e-05,2149.0
2014-08-22 06:28:00,M1.7,1.769e-05,2149.0
2014-08-24 12:17:00,M8.5,8.576e-05,2151.0
2014-08-25 15:10:00,M2.8,2.866e-05,2146.0
2014-08-25 20:20:00,M5.6,5.689e-05,
2014-08-31 12:11:00,M1.0,1.012e-05,
2014-09-03 13:54:00,M3.6,3.672e-05,2155.0
2014-09-06 08:14:00,M1.1,1.151e-05,2157.0
2014-09-06 16:57:00,M1.2,1.215e-05,
2014-09-06 17:09:00,M1.6,1.61e-05,2157.0
2014-09-07 02:04:00,M1.0,1.075e-05,
2014-09-07 19:43:00,M1.1,1.127e-05,
2014-09-09 00:29:00,M6.5,6.555e-05,2158.0
2014-09-10 17:45:00,X2.3,0.0002387,2158.0
2014-09-11 15:25:00,M3.0,3.057e-05,
2014-09-11 21:26:00,M2.0,2.015e-05,
2014-09-12 02:24:00,M1.3,1.369e-05,2157.0
2014-09-14 02:16:00,M2.2,2.246e-05,2157.0
2014-09-17 19:48:00,M1.0,1.085e-05,
2014-09-18 08:42:00,M3.0,3.012e-05,
2014-09-23 23:16:00,M3.3,3.322e-05,2172.0
2014-09-26 16:18:00,M1.1,1.13e-05,2177.0
2014-09-27 08:36:00,M1.8,1.826e-05,
2014-09-28 02:58:00,M7.3,7.314e-05,2173.0
2014-09-28 17:33:00,M1.4,1.499e-05,2173.0
2014-10-02 17:44:00,M2.2,2.266e-05,2172.0
2014-10-02 19:01:00,X1.0,0.0001047,2173.0
2014-10-03 06:48:00,M1.2,1.298e-05,
2014-10-09 01:43:00,M1.8,1.881e-05,2182.0
2014-10-09 01:58:00,M2.1,2.107e-05,
2014-10-09 06:59:00,M1.7,1.8e-05,2182.0
2014-10-09 09:27:00,M1.3,1.306e-05,
2014-10-14 18:37:00,M1.5,1.583e-05,
2014-10-16 07:37:00,M1.1,1.11e-05,
2014-10-16 13:03:00,M6.2,6.204e-05,
2014-10-18 07:59:00,M2.3,2.36e-05,2192.0
2014-10-18 08:10:00,M2.3,2.331e-05,
2014-10-19 05:03:00,X1.5,0.0001579,
2014-10-20 06:02:00,M1.2,1.293e-05,2192.0
2014-10-20 09:11:00,M5.6,5.612e-05,2192.0
2014-10-20 15:24:00,M1.2,1.237e-05,2192.0
2014-10-20 16:15:00,M4.3,4.326e-05,
2014-10-20 16:33:00,M6.4,6.473e-05,2192.0
2014-10-20 19:02:00,M2.1,2.129e-05,
2014-10-20 20:04:00,M2.5,2.534e-05,
2014-10-20 20:26:00,M1.9,1.953e-05,
2014-10-20 22:55:00,M1.7,1.749e-05,2192.0
2014-10-21 13:38:00,M1.8,1.807e-05,
2014-10-21 14:53:00,M1.0,1.082e-05,
2014-10-22 01:59:00,X1.2,0.000126,
2014-10-22 05:17:00,M3.9,3.901e-05,
2014-10-22 14:28:00,X2.3,0.0002389,2192.0
2014-10-22 15:57:00,M2.0,2.008e-05,
2014-10-22 18:15:00,M1.3,1.368e-05,
2014-10-23 09:50:00,M1.6,1.632e-05,2192.0
2014-10-24 07:48:00,M5.8,5.827e-05,
2014-10-24 21:20:00,X3.1,0.0003145,
2014-10-24 21:41:00,X4.5,0.000458,2192.0
2014-10-25 07:51:00,M1.3,1.332e-05,
2014-10-25 08:08:00,M1.3,1.323e-05,2192.0
2014-10-25 08:23:00,M1.3,1.354e-05,
2014-10-25 15:51:00,M1.3,1.393e-05,
2014-10-25 17:08:00,X1.4,0.0001495,2192.0
2014-10-25 23:26:00,M1.2,1.209e-05,
